,n-alkane _13C (ä VPDB),,,,,,,,,,,,,,,,,,
Date:,C25,,C27,,C29,,C31,,C33,,C35,,,,,,,,
,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,,,,,,,
Nov-10,-29.0,1.0,-30.1,0.2,-33.8,0.1,-33.8,0.1,-30.1,0.2,-26.0,0.3,,,,,,,
Dec-10,,,-29.8,0.1,-33.9,0.2,-33.9,0.2,-30.2,0.0,-27.6,0.2,,,,,,,
Jan-11,-30.0,0.1,-29.8,0.3,-34.1,0.2,-33.9,0.3,-30.3,0.3,-25.8,0.5,,,,,,,
Mar-11,-29.0,0.5,-30.1,0.2,-33.8,0.1,-32.1,0.3,-30.2,0.0,-27.0,0.1,,,,,,,
Apr-11,-29.4,0.2,-29.8,0.3,-33.5,0.3,-32.9,0.3,-29.6,0.2,-25.0,0.1,,,,,,,
May-11,-30.4,0.2,-30.5,0.1,-34.1,0.2,-33.6,0.2,-30.4,0.2,-26.6,0.2,,,,,,,
Jun-11,-31.2,0.5,-31.5,0.4,-34.2,0.1,-34.1,0.1,-30.8,0.1,-26.1,0.5,,,,,,,
Jul-11,-29.7,0.3,-31.1,0.4,-34.3,0.2,-34.0,0.1,-30.8,0.3,-27.0,0.2,,,,,,,
Aug-11,-29.6,0.9,-31.3,0.1,-33.9,0.2,-33.2,0.3,-29.3,0.3,-25.0,0.2,,,,,,,
Sep-11,-29.9,0.3,-31.1,0.2,-33.9,0.4,-33.7,0.2,-31.0,0.0,-26.1,0.1,,,,,,,
Oct-11,-30.3,0.6,-29.8,0.3,-33.9,0.1,-34.2,0.6,-31.2,0.1,-26.4,0.3,,,,,,,
Nov-11,-29.0,1.0,-30.4,0.9,-34.1,0.2,-34.0,0.3,-30.6,0.4,-25.2,0.2,,,,,,,
Dec-11,-31.1,0.7,-29.9,0.2,-33.8,0.3,-33.2,0.5,-30.3,0.3,-24.7,0.1,,,,,,,
Jan-12,-29.0,0.3,-31.2,0.6,-34.0,0.3,-34.3,0.3,-30.5,0.4,-26.0,0.7,,,,,,,
Feb-12,-30.5,1.0,-30.5,0.1,-33.1,0.2,-33.6,0.1,-29.2,0.2,-25.0,0.3,,,,,,,
Mar-12,-29.8,1.1,-31.9,0.0,-33.7,0.2,-33.9,0.1,-30.0,0.2,-25.5,0.3,,,,,,,
Apr-12,-28.8,0.2,-30.9,0.2,-33.8,0.3,-33.7,0.4,-30.3,0.3,-25.7,0.0,,,,,,,
May-12,-30.6,0.8,-31.0,0.3,-33.4,0.4,-33.8,0.3,-29.6,0.2,-25.7,0.5,,,,,,,
Jun-12,-30.6,1.0,-31.6,0.2,-34.4,0.1,-34.4,0.1,-31.2,0.0,-25.7,0.0,,,,,,,
Jul-12,-31.0,0.6,-31.4,0.4,-34.5,0.1,-34.5,0.0,-31.8,0.2,-27.3,0.2,,,,,,,
Aug-12,-31.5,0.6,-31.8,0.0,-33.8,0.1,-34.0,0.2,-30.4,0.3,-26.2,0.3,,,,,,,
Oct-12,-30.3,1.2,-30.2,0.5,-32.8,0.2,-33.4,0.4,-30.4,0.1,-26.0,0.9,,,,,,,
Nov-12,-29.5,0.4,-29.7,0.2,-33.3,0.2,-33.5,0.2,-29.5,0.2,-25.7,0.2,,,,,,,
Dec-12,-29.7,0.6,-30.4,0.1,-32.6,0.0,-33.1,0.1,-29.8,0.0,-25.6,0.1,,,,,,,
Jan-13,-30.1,0.4,-30.2,0.2,-34.0,0.3,-33.4,0.2,-30.4,0.6,-24.9,0.1,,,,,,,
Feb-13,-30.8,0.3,-31.0,0.3,-34.3,0.2,-34.2,0.2,-30.5,0.2,-26.7,0.2,,,,,,,
Mar-13,-30.9,0.2,-32.4,0.2,-34.9,0.0,-34.4,0.1,-31.2,0.2,-26.7,0.1,,,,,,,
Apr-13,-29.7,0.1,-31.0,0.3,-34.6,0.3,-34.3,0.2,-30.8,0.4,-25.8,0.2,,,,,,,
May-13,-30.2,0.4,-31.2,0.4,-34.1,0.3,-33.9,0.0,-30.6,0.1,-25.2,0.3,,,,,,,
Jun-13,-30.0,0.4,-31.1,0.0,-35.2,0.1,-34.4,0.2,-31.3,0.1,-26.3,0.0,,,,,,,
Jul-13,,,-30.8,0.3,-33.0,0.4,-33.1,0.4,-30.9,0.2,,,,,,,,,
Aug-13,-30.5,0.2,-31.4,0.2,-33.6,0.2,-32.7,0.4,-30.2,0.5,-27.4,0.0,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
