,n-alcohol _13C (ä VPDB),,,,,,,,,,,,,,,,,,,
Date:,C18,,C22,,C24,,C26,,C28,,C30,,C32,,C34,,,,,
,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,mean,stdev,,,,
Nov-10,-31.2,0.1,-32.6,0.0,-34.3,0.3,-33.5,0.0,-33.4,0.0,-33.4,0.2,-31.1,0.2,-32.4,0.6,,,,
Dec-10,,,,,,,,,,,,,,,,,,,,
Jan-11,-30.3,0.0,-33.0,0.3,-34.5,0.2,-34.2,0.2,-33.8,0.0,-34.4,0.3,-31.8,0.2,-33.3,0.8,,,,
Mar-11,-29.6,0.4,-33.5,0.3,-36.9,0.1,-33.8,0.3,-33.4,0.1,-33.8,0.1,-30.7,0.3,-33.7,0.7,,,,
Apr-11,-29.7,0.4,-33.2,0.3,-35.6,0.5,-34.3,0.4,-33.5,0.2,-33.5,0.3,-31.9,0.3,-33.7,0.9,,,,
May-11,-31.0,0.0,-33.1,0.1,-35.5,0.3,-34.1,0.1,-33.8,0.2,-33.8,0.0,-31.7,0.3,-33.8,0.1,,,,
Jun-11,-30.7,0.3,-33.7,0.3,-36.5,0.3,-34.0,0.6,-33.7,0.2,-33.7,0.1,-31.9,0.3,-34.2,0.1,,,,
Jul-11,-30.9,0.3,-33.4,0.0,-36.9,0.0,-34.3,0.0,-33.9,0.3,-34.4,0.0,-32.1,0.1,-33.4,0.7,,,,
Aug-11,-29.9,0.2,-32.8,0.2,-35.7,0.2,-33.8,0.1,-32.8,0.1,-33.4,0.2,-31.3,0.0,-33.9,0.5,,,,
Sep-11,-28.2,0.2,-33.4,0.4,-36.3,0.3,-33.5,0.2,-34.1,0.0,-33.9,0.1,-31.5,0.2,-33.7,0.2,,,,
Oct-11,-29.4,0.2,-31.5,0.1,-34.4,0.2,-33.6,0.2,-34.0,0.1,-33.9,0.0,-32.0,0.1,-33.1,0.2,,,,
