Date:,% n-acids,,% n-alcohols,,% n-alkanes,
,mean,stdev,mean,stdev,mean,stdev
Nov-10,39.9,0.7,46.0,0.9,14.1,0.3
Dec-10,57.8,0.7,32.4,0.8,9.8,0.2
Jan-11,65.1,0.6,25.8,0.6,9.1,0.2
Mar-11,57.4,0.7,32.7,0.8,9.9,0.2
Apr-11,75.6,0.7,18.5,0.8,5.9,0.2
May-11,67.4,0.4,24.4,0.4,8.2,0.1
Jun-11,55.2,0.5,34.5,0.6,10.4,0.2
Jul-11,64.2,0.5,28.9,0.5,6.9,0.1
Aug-11,55.2,0.5,39.7,0.6,5.1,0.1
Sep-11,63.3,0.6,28.3,0.6,8.4,0.2
Oct-11,58.6,0.5,31.7,0.6,9.7,0.2
Nov-11,58.4,0.8,31.0,0.9,10.6,0.3
Dec-11,26.3,0.7,58.0,1.1,15.8,0.5
Jan-12,61.9,0.5,29.4,0.6,8.7,0.1
Feb-12,61.0,0.7,30.5,0.7,8.5,0.2
Mar-12,61.1,0.6,30.8,0.7,8.1,0.2
Apr-12,60.3,0.6,30.8,0.7,8.8,0.2
May-12,38.0,0.7,50.5,0.9,11.5,0.3
Jun-12,64.3,0.4,27.9,0.4,7.7,0.1
Jul-12,56.2,0.5,35.3,0.6,8.5,0.1
Aug-12,65.2,0.5,28.8,0.6,6.0,0.1
Oct-12,56.1,0.6,35.7,0.7,8.2,0.2
Nov-12,57.2,0.6,34.2,0.7,8.5,0.2
Dec-12,50.9,0.8,40.3,0.9,8.9,0.3
Jan-13,54.4,0.8,36.6,1.0,9.0,0.3
Feb-13,66.4,0.6,28.4,0.6,5.2,0.1
Mar-13,64.1,0.5,27.4,0.5,8.5,0.1
Apr-13,64.6,0.5,27.5,0.5,7.9,0.1
May-13,67.2,0.5,25.8,0.5,7.0,0.1
Jun-13,60.9,0.5,29.1,0.6,10.0,0.1
Jul-13,60.6,0.5,31.4,0.6,7.9,0.1
Aug-13,50.3,1.1,38.3,1.3,11.3,0.4
,,,,,,
,,,,,,
