Congo River,,,,,,,,,,,,,,,,,
,Discharge (m3/s),MATBraz (¡C),Triv (¡C),"pHriv (Wang et al., 2013)",[DOC] (mg/L),"[POC] (mg/L) (Hemingway et al., 2016)",%OC,,%Norg,,_13C (ä VPDB),,_15N (ä AIR),,N/C (molar),Æ14C (ä),
,,,,,,,mean,stdev,mean,stdev,mean,stdev,mean,stdev,,mean,stdev
28-Nov-10,5.29E+04,26.3,27.8,--,12.1,0.9,5.71,0.06,0.53,0.01,-27.6,0.0,5.1,0.1,0.079,-47.3,8.1
28-Dec-10,4.99E+04,25.6,27.9,5.8,12.3,1.2,7.28,0.15,0.64,0.01,-27.6,0.0,5.0,0.2,0.076,-201.4,6.8
28-Jan-11,3.99E+04,25.9,28.0,5.9,9.9,1.3,6.27,0.08,0.61,0.02,-27.5,0.1,4.7,0.0,0.084,-50.7,8.5
28-Feb-11,3.39E+04,26.4,27.9,6.4,8.0,2.6,6.18,0.02,0.68,0.02,-25.4,0.0,7.2,0.1,0.095,-45.9,8.5
28-Mar-11,3.14E+04,27.1,30.4,6.4,7.4,1.0,6.82,0.00,0.81,0.27,-26.6,0.0,6.3,0.2,0.101,-208.8,7.7
28-Apr-11,3.28E+04,27.6,29.5,6.3,6.8,1.6,7.75,0.04,0.81,0.01,-26.6,0.0,6.9,0.0,0.089,-309.3,7.1
28-May-11,2.69E+04,27.2,29.1,6.5,6.0,2.2,5.15,0.02,0.63,0.02,-26.2,0.0,7.4,0.1,0.105,-93.3,8.6
28-Jun-11,2.45E+04,25.2,26.4,6.7,5.1,1.4,6.30,0.09,0.68,0.01,-26.8,0.1,6.9,0.2,0.092,-243.9,6.2
28-Jul-11,2.32E+04,23.4,26.2,6.7,5.9,1.2,6.33,0.14,0.71,0.01,-26.8,0.1,6.7,0.0,0.096,-140.2,8.2
28-Aug-11,2.49E+04,24.9,27.2,6.7,6.5,1.5,6.20,0.02,0.83,0.01,-25.4,0.0,8.5,0.1,0.114,-101.9,8.3
28-Sep-11,3.34E+04,25.9,27.8,6.4,8.2,1.6,7.49,0.04,0.89,0.02,-24.7,0.0,5.7,0.1,0.102,-141.9,8.5
28-Oct-11,4.51E+04,27.5,27.6,5.9,10.6,2.2,7.63,0.05,0.75,0.00,-26.5,0.0,6.4,0.0,0.085,-209.0,7.8
28-Nov-11,5.36E+04,25.7,27.8,5.7,13.6,1.2,6.12,0.08,0.60,0.01,-26.6,0.0,6.2,0.1,0.084,-71.2,8.5
28-Dec-11,5.46E+04,25.2,27.9,5.7,12.8,1.0,6.64,0.25,0.64,0.01,-27.1,0.1,5.3,0.2,0.082,-155.3,8.4
28-Jan-12,4.36E+04,26.0,28.3,--,10.2,1.5,6.36,0.06,0.66,0.02,-27.5,0.0,5.9,0.1,0.089,-45.6,9.1
28-Feb-12,3.28E+04,27.6,27.4,--,7.8,1.2,6.82,0.14,0.78,0.01,-26.9,0.1,6.0,0.2,0.098,-57.3,8.9
28-Mar-12,3.12E+04,28.9,31.3,--,7.1,1.0,4.47,0.22,0.56,0.01,-26.1,0.0,6.7,0.1,0.107,-111.5,8.9
28-Apr-12,3.28E+04,27.5,29.2,--,6.5,0.9,5.18,0.17,0.66,0.01,-26.4,0.0,6.8,0.0,0.109,-90.7,8.7
28-May-12,3.13E+04,26.6,28.5,--,7.2,0.9,5.44,0.06,0.63,0.01,-26.6,0.0,6.9,0.2,0.100,-142.8,10.1
28-Jun-12,2.96E+04,25.3,26.7,--,7.6,1.6,4.90,0.18,0.51,0.01,-27.2,0.1,6.3,0.2,0.088,-39.2,9.9
28-Jul-12,2.56E+04,23.4,23.8,--,7.4,0.9,5.51,0.14,0.64,0.01,-26.9,0.1,6.4,0.2,0.100,-110.3,8.4
28-Aug-12,2.97E+04,25.0,27.0,--,9.0,0.9,4.88,0.15,0.67,0.02,-26.7,0.1,7.6,0.1,0.118,-64.4,9.2
28-Sep-12,3.74E+04,25.6,28.2,--,10.5,--,--,--,--,--,--,--,--,--,--,--,--
28-Oct-12,4.49E+04,27.1,28.4,--,14.2,1.2,7.35,0.07,0.88,0.00,-25.2,0.2,4.5,0.1,0.103,-41.8,8.9
28-Nov-12,5.23E+04,26.8,28.1,--,14.0,1.2,6.66,0.11,0.75,0.03,-26.9,0.2,4.6,0.2,0.096,-57.7,8.9
28-Dec-12,5.44E+04,26.6,27.7,--,12.3,1.0,6.80,0.24,0.75,0.02,-25.6,0.1,3.9,0.2,0.094,-47.7,7.8
28-Jan-13,4.90E+04,26.7,27.9,--,10.8,0.9,7.16,0.21,0.80,0.02,-26.3,0.2,3.9,0.2,0.096,-47.8,8.5
28-Feb-13,3.80E+04,27.7,30.6,--,8.9,1.2,6.93,0.09,0.79,0.02,-24.6,0.3,4.4,0.1,0.098,-32.9,9.5
28-Mar-13,3.67E+04,28.3,29.4,--,7.8,1.4,5.71,0.01,0.67,0.01,-26.0,0.1,6.2,0.3,0.101,-49.4,8.1
28-Apr-13,4.06E+04,27.9,29.2,--,6.5,1.3,5.96,0.07,0.69,0.01,-26.3,0.1,6.3,0.3,0.099,-67.3,8.6
28-May-13,3.91E+04,27.2,28.8,--,7.3,1.1,6.44,0.18,0.70,0.01,-26.7,0.2,6.3,0.2,0.094,-70.6,7.9
28-Jun-13,2.75E+04,24.9,24.5,--,7.7,1.1,3.26,0.03,0.21,0.01,-26.6,0.2,4.8,0.2,0.095,-39.1,9.3
28-Jul-13,2.97E+04,24.0,25.4,--,7.5,1.7,3.99,0.30,0.50,0.01,-26.5,0.1,7.0,0.1,0.107,-142.3,8.5
28-Aug-13,3.11E+04,25.0,26.8,--,9.7,0.6,6.27,0.06,0.79,0.02,-26.2,0.0,7.0,0.2,0.108,-125.2,8.9
Djoue River,,,,,,,,,,,,,,,,,
28-Nov-10,--,--,--,--,--,0.8,5.65,0.14,0.45,0.01,-27.2,0.0,4.4,0.2,0.069,--,--
28-Dec-10,--,--,--,--,--,0.7,5.07,0.16,0.45,0.01,-27.6,0.1,3.8,0.1,0.076,--,--
28-Jan-11,--,--,--,--,--,0.9,8.66,0.11,0.51,0.01,-27.2,0.2,4.4,0.2,0.050,--,--
28-Feb-11,--,--,--,--,--,0.7,7.43,0.04,0.61,0.01,-27.9,0.2,5.0,0.1,0.071,--,--
28-Mar-11,--,--,--,--,--,0.8,8.43,0.17,0.57,0.01,-28.0,0.1,4.7,0.0,0.058,--,--
28-Apr-11,--,--,--,--,--,1.1,3.95,0.01,0.37,0.00,-26.5,0.1,5.2,0.1,0.080,--,--
28-May-11,--,--,--,--,--,0.8,9.36,0.13,0.54,0.01,-27.6,0.2,5.6,0.3,0.050,--,--
28-Jun-11,--,--,--,--,--,1.1,9.43,0.14,0.61,0.01,-27.5,0.1,4.9,0.1,0.056,--,--
28-Jul-11,--,--,--,--,--,1.0,11.60,0.01,0.94,0.01,-27.5,0.0,5.4,0.0,0.069,--,--
28-Aug-11,--,--,--,--,--,0.6,10.15,0.04,0.84,0.02,-28.1,0.1,6.4,0.1,0.071,--,--
28-Sep-11,--,--,--,--,--,1.0,12.70,0.48,0.82,0.01,-27.7,0.1,5.1,0.1,0.055,--,--
