,Fractional Contribution,,
,C3 soils,C3 trees,phyto-plankton
,"Congo River (data from Spencer et al., 2016)",,
15-Sep-09,0.90,0.01,0.09
16-Oct-09,0.84,0.09,0.07
16-Nov-09,0.84,0.09,0.07
16-Dec-09,0.67,0.27,0.06
14-Jan-10,0.73,0.21,0.06
12-Feb-10,0.86,0.07,0.07
18-Mar-10,0.94,0.00,0.08
20-Apr-10,0.80,0.15,0.04
24-May-10,0.79,0.13,0.08
22-Jun-10,0.76,0.15,0.09
13-Jul-10,0.77,0.12,0.11
23-Aug-10,0.90,0.00,0.13
21-Sep-10,0.94,0.00,0.08
21-Oct-10,0.93,0.01,0.06
25-Nov-10,0.85,0.10,0.05
,Congo River (this study),,
28-Nov-10,0.70,0.27,0.04
28-Dec-10,0.66,0.32,0.02
28-Jan-11,0.74,0.20,0.06
28-Feb-11,1.00,0.00,0.02
28-Mar-11,0.90,0.00,0.12
28-Apr-11,0.89,0.08,0.04
28-May-11,0.90,0.00,0.15
28-Jun-11,0.87,0.06,0.07
28-Jul-11,0.88,0.02,0.10
28-Aug-11,0.87,0.00,0.23
28-Sep-11,1.01,0.00,0.06
28-Oct-11,0.86,0.13,0.01
28-Nov-11,0.84,0.15,0.01
28-Dec-11,0.78,0.20,0.03
28-Jan-12,0.79,0.14,0.08
28-Feb-12,0.90,0.00,0.10
28-Mar-12,0.90,0.00,0.15
28-Apr-12,0.88,0.00,0.18
28-May-12,0.90,0.00,0.12
28-Jun-12,0.78,0.14,0.08
28-Jul-12,0.87,0.00,0.14
28-Aug-12,0.77,0.00,0.31
28-Sep-12,--,--,--
28-Oct-12,0.99,0.00,0.08
28-Nov-12,0.92,0.00,0.08
28-Dec-12,0.99,0.00,0.02
28-Jan-13,0.95,0.00,0.06
28-Feb-13,1.03,0.00,0.02
28-Mar-13,0.94,0.00,0.10
28-Apr-13,0.93,0.00,0.09
28-May-13,0.89,0.03,0.07
28-Jun-13,0.91,0.01,0.08
28-Jul-13,0.84,0.00,0.20
28-Aug-13,0.86,0.00,0.19
,"Oubangui River (data from Bouillon et al., 2012; 2014)",,
20-Mar-10,0.09,0.00,0.91
4-Mar-10,0.10,0.00,0.90
15-Apr-10,0.32,0.00,0.68
29-Apr-10,0.31,0.06,0.63
6-May-10,0.70,0.00,0.30
16-May-10,0.22,0.00,0.78
29-May-10,0.07,0.00,0.93
14-Jul-10,0.91,0.00,0.09
31-Jul-10,0.64,0.00,0.36
5-Aug-10,0.62,0.00,0.38
15-Aug-10,0.85,0.02,0.13
27-Aug-10,0.90,0.02,0.08
7-Sep-10,0.92,0.00,0.08
18-Sep-10,0.97,0.00,0.03
23-Sep-10,0.97,0.00,0.03
9-Oct-10,0.97,0.02,0.01
20-Oct-10,0.90,0.00,0.10
30-Oct-10,0.86,0.14,0.00
10-Nov-10,0.94,0.06,0.00
20-Nov-10,0.95,0.03,0.01
27-Nov-10,0.87,0.08,0.04
4-Dec-10,0.84,0.06,0.10
30-Dec-10,0.19,0.00,0.82
5-Jan-11,0.08,0.00,0.92
29-Jan-11,0.00,0.00,1.00
5-Feb-11,0.00,0.00,1.01
26-Feb-11,0.00,0.00,1.00
17-Mar-11,0.33,0.13,0.54
14-Apr-11,0.23,0.08,0.69
28-Apr-11,0.19,0.13,0.68
14-May-11,0.00,0.26,0.74
28-May-11,0.00,0.00,1.00
16-Jun-11,0.00,0.07,0.93
28-Jun-11,0.09,0.00,0.91
13-Jul-11,0.28,0.00,0.72
30-Jul-11,0.40,0.00,0.60
13-Aug-11,0.09,0.00,0.92
30-Aug-11,0.52,0.00,0.49
10-Sep-11,0.80,0.00,0.20
25-Sep-11,0.78,0.00,0.22
15-Oct-11,0.88,0.00,0.12
29-Oct-11,0.93,0.00,0.07
12-Nov-11,0.89,0.00,0.11
26-Nov-11,0.78,0.07,0.15
10-Dec-11,0.70,0.03,0.27
24-Dec-11,0.16,0.00,0.84
14-Jan-12,0.03,0.00,0.97
28-Jan-12,0.00,0.00,1.00
11-Feb-12,0.00,0.00,1.00
24-Feb-12,0.00,0.00,1.00
10-Mar-12,0.00,0.00,1.00
31-Mar-12,0.00,0.00,1.00
