,,Canonical axes,,,,Non-canonical axes,,,
,,RDA1,RDA2,RDA3,RDA4,PC1,PC2,PC3,PC4
Importance of components,Eigenlavue (_k),1.94,0.23,0.05,0.01,1.03,0.53,0.15,0.05
,Variance explained (%),48.6,5.8,1.3,0.2,25.7,13.2,3.9,1.4
,Cumulative variance explained (%),48.6,54.4,55.7,55.9,81.6,94.8,98.6,100.0
,F statistic,30.9,3.7,0.8,0.1,,,,
,Significance p-value,0.001,0.033,0.471,0.951,,,,
Biplot scores,Discharge (Qw),-0.90,0.01,-0.12,-0.14,0.00,0.00,0.00,0.00
,Brazzaville MAT (Tbraz),-0.21,-0.14,0.65,-0.17,0.00,0.00,0.00,0.00
,River Temp (Triv),-0.23,-0.28,0.45,-0.44,0.00,0.00,0.00,0.00
,[DOC],-0.82,0.04,-0.45,0.11,0.00,0.00,0.00,0.00
,[POC],0.20,0.22,0.01,-0.29,0.00,0.00,0.00,0.00
,bulk _13C,0.38,0.33,-0.15,-0.19,0.00,0.00,0.00,0.00
,bulk _15N,0.61,-0.21,0.04,0.16,0.00,0.00,0.00,0.00
,bulk N/C ratio,0.79,-0.14,-0.17,0.09,0.00,0.00,0.00,0.00
,bulk Æ14C,0.02,-0.56,-0.26,0.03,0.00,0.00,0.00,0.00
"Sample (""site"") scores",28-Nov-10,-1.22,-0.80,-1.16,-4.53,0.13,-0.07,-1.04,-1.51
,28-Dec-10,-0.65,-0.58,-0.85,-1.90,-0.52,-1.02,-0.09,-0.52
,28-Jan-11,0.11,-1.19,-1.29,0.87,-0.54,-0.87,-0.30,0.84
,28-Feb-11,0.17,-0.95,-0.26,-1.44,0.47,-0.33,0.26,-0.88
,28-Mar-11,-0.29,-0.16,-0.30,0.30,0.49,0.11,-0.32,0.35
,28-Apr-11,-0.56,0.68,1.96,-1.48,0.48,0.15,0.40,-1.05
,28-May-11,0.72,1.68,0.89,-3.17,-0.30,1.33,-0.41,-0.37
,28-Jun-11,0.46,0.59,0.92,0.85,0.00,-0.23,0.29,0.04
,28-Jul-11,0.08,-0.04,0.92,0.26,0.64,0.50,0.70,-0.33
,28-Aug-11,0.60,-2.98,-4.08,3.00,1.01,-1.64,-0.75,0.76
,28-Sep-11,0.89,3.12,-2.64,-4.56,-0.90,0.62,-1.97,0.07
,28-Oct-11,-0.68,1.30,0.92,5.10,0.19,0.17,0.48,1.51
,28-Nov-11,-1.32,0.99,0.33,1.33,0.01,1.11,0.13,0.46
,28-Dec-11,-1.42,0.52,-0.55,0.27,0.33,0.45,-0.13,0.27
,28-Jan-12,-0.45,-0.47,-0.67,1.24,0.03,0.27,-0.23,0.92
,28-Feb-12,0.13,-0.78,-1.40,-0.39,0.15,-0.53,-1.21,-0.17
,28-Mar-12,0.00,-0.75,0.54,-0.29,0.25,0.08,-0.20,-0.15
,28-Apr-12,-0.11,-0.05,0.47,0.00,0.63,0.68,-0.34,-0.01
,28-May-12,0.24,-0.76,-0.15,2.33,-0.03,-0.43,0.01,0.74
,28-Jun-12,0.21,-0.54,0.48,0.69,-0.09,0.08,0.23,0.10
,28-Jul-12,0.12,0.58,0.14,1.75,0.55,0.43,0.12,-0.06
,28-Aug-12,0.44,-1.15,-0.09,0.61,0.31,0.04,0.51,-0.40
,28-Oct-12,-0.45,-0.51,-0.05,0.72,0.23,-0.44,0.68,-0.62
,28-Nov-12,-0.83,-0.06,-0.65,-0.08,0.18,0.10,-0.11,-0.07
,28-Dec-12,-0.85,0.22,-0.06,0.24,0.57,-0.02,0.23,-0.16
,28-Jan-13,-0.53,-0.14,-0.20,0.66,0.44,-0.14,0.05,0.22
,28-Feb-13,0.20,-0.16,0.84,0.45,-0.13,-0.18,0.64,0.25
,28-Mar-13,0.57,0.09,1.76,0.85,-0.57,0.08,0.56,0.29
,28-Apr-13,0.64,0.04,1.97,-0.67,-0.61,0.00,0.56,0.01
,28-May-13,0.57,-0.99,1.82,-0.89,-0.75,-0.59,0.80,-0.45
,28-Jun-13,0.18,0.94,0.46,1.51,0.37,0.57,0.13,0.21
,28-Jul-13,1.74,0.53,-0.86,-2.86,-1.17,-0.66,0.04,-0.44
,28-Aug-13,1.33,1.77,0.83,-0.78,-1.82,0.41,0.31,0.12
"Response variable (""species"") scores",MBT,-1.162,0.4281,0.2413,-0.04129,0.3246,1.0295,0.218,-0.1484
,CBT,-1.287,0.3435,-0.2375,0.05466,0.762,0.4622,-0.393,0.216
,BIT,-1.041,-0.446,0.1402,0.09158,1.1101,-0.3023,0.4206,0.1298
,GDGT-0/cren,-1.186,-0.4005,-0.1019,-0.09923,0.9955,-0.3524,-0.2393,-0.2617
