Sample,Sampling Coords.,,Site information*,,,,%OC,,,,_13C (‰ VPDB),,,,Fm,,,,Paired rock information**,,Paired rock %OC,
,,,,,,,Fumigated & rinsed,,Liquid HCl & rinsed*,,Fumigated & rinsed,,Liquid HCl & rinsed*,,Fumigated & rinsed,,Liquid HCl & rinsed*,,,,Liquid HCl & rinsed**,
,Lat.,Long.,Depth,Horizon,Elevation,Slope (°),mean,std. dev.†,mean,std. dev.,mean,std. dev.,mean,std. dev.,mean,std. dev.,mean,std. dev.,Sample ID,Formation,mean,std. dev.
TS1,24.1537,121.2828,4,A+E,3192,22,0.71,0.01,0.85,0.02,-23.5,0.1,-22.7,0.2,0.782,0.006,0.843,0.004,TBR1,MI,0.65,0.02
TS2,24.1537,121.2828,24,A+E,3192,22,0.51,0.01,0.66,0.02,-23.5,0.1,-22.2,0.2,0.612,0.006,0.695,0.003,TBR1,MI,0.65,0.02
TS3,24.1537,121.2828,39,A+E,3192,22,0.39,0.01,0.41,0.02,-24.3,0.1,-23.0,0.2,0.502,0.005,0.595,0.003,TBR1,MI,0.65,0.02
TS4,24.1782,121.3035,30,C,2675,31,0.13,0.01,0.11,0.02,-25.7,0.1,-24.9,0.2,0.223,0.003,0.211,0.002,TBR2,MI,0.34,0.02
TS5,24.1782,121.3035,0,A+E,2675,31,4.69,0.13,5.24,0.02,-18.2,0.1,-18.0,0.2,0.939,0.008,0.959,0.004,TBR2,MI,0.34,0.02
TS6,24.1950,121.4222,0,A+E,1711,34,0.59,0.03,0.80,0.02,-24.8,0.1,-23.7,0.2,0.919,0.008,0.951,0.004,,PM3,0.19‡,0.07‡
TS7,23.1344,121.0910,0,A+E,528,26,,,1.81,0.02,,,-26.7,0.2,,,0.915,0.004,TBR12,PM3,0.28,0.02
TS8,23.1758,121.0321,0,A+E,901,50,,,0.91,0.02,,,-21.4,0.2,,,1.007,0.005,,PM3,0.19‡,0.07‡
TS9,23.1922,121.0183,0,A+E,1125,39,,,0.65,0.02,,,-22.3,0.2,,,0.826,0.004,,Ep,0.28‡,0.05‡
TS10,23.1922,121.0183,20,C,1125,39,0.20,,0.28,0.02,-22.4,0.1,-21.8,0.2,0.709,0.008,0.839,0.004,,Ep,0.28‡,0.05‡
TS11,23.1922,121.0183,50,C,1125,39,0.22,,0.20,0.02,-19.1,0.1,-18.7,0.2,0.068,0.069,0.108,0.001,,Ep,0.28‡,0.05‡
TS12,23.2244,121.0171,,A+E,1851,33,,,1.39,0.02,,,-25.3,0.2,,,0.929,0.004,TBR14,Ep,0.58,0.02
TS13,23.2472,120.9858,90,C,2339,20,0.09,,0.08,0.02,-24.4,0.1,-22.6,0.2,0.450,0.068,0.492,0.002,,Ep,0.28‡,0.05‡
TS14,23.2472,120.9858,0,A+E,2339,20,,,5.22,0.02,,,-19.6,0.2,,,1.021,0.004,,Ep,0.28‡,0.05‡
TS15,23.2802,120.9100,,A+E,2322,39,,,1.20,0.02,,,-26.3,0.2,,,0.999,0.005,,MI,0.41‡,0.075‡
TS16,23.1448,120.4225,,A+E,122,1,,,0.87,0.02,,,-24.8,0.2,,,0.885,0.004,TBR32,Pc,0.18,0.02
TS17,23.1448,120.4225,30,C,122,1,0.27,,0.27,0.02,-24.6,0.1,-23.9,0.2,0.267,0.069,,,TBR32,Pc,0.18,0.02
TS18,24.1105,121.2132,10,A+E,2499,22,4.93,0.13,5.09,0.02,-18.4,0.1,-18.0,0.2,1.019,0.009,1.031,0.005,,MI,0.41‡,0.075‡
TS20,24.1105,121.2132,13,A+E,2499,22,0.74,0.05,0.77,0.02,-21.0,0.1,-20.6,0.2,0.641,0.006,0.681,0.003,,MI,0.41‡,0.075‡
* Data from Hilton et al. (2013) Biogeosciences,,,,,,,,,,,,,,,,,,,,,,
**Data from Hilton et al. (2010) Geochimica et Cosmochimica Acta,,,,,,,,,,,,,,,,,,,,,,
†Std. dev. is the difference between CO2 quantified on two vacuum lines,,,,,,,,,,,,,,,,,,,,,,
"‡For soil samples without a corresponding bedrock sample, formation averages [as calculated in Hilton et al. (2010) Geochimica et Cosmochemica Acta] are used",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Do not trust, re-reun?",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
