Sample,iso-C15,,anti iso-C15,,n-C16,,n-C18,,n-C20,,n-C22,,n-C24,,n-C26,,n-C28,,n-C30,,n-C32,,n-C34,,_LC24-34,,ACL,,CPI,,MFA,
,mean,std. dev.,mean,std. dev.,mean,std. dev.,mean,std. dev.,mean,std. dev.,mean,std. dev.,mean,std. dev.,mean,std. dev.,mean,std. dev.,mean,std. dev.,mean,std. dev.,mean,std. dev.,mean,std. dev.,mean,std. dev.,mean,std. dev.,mean,std. dev.
LW2,5.6,0.2,6.2,0.2,263.3,3.0,131.9,1.5,,,,,6.0,0.2,3.2,0.2,2.8,0.2,2.0,0.2,1.3,0.2,,,15.3,0.5,26.60,0.10,,,0.43,0.019
LW3,5.5,0.1,4.9,0.1,,,46.1,0.5,,,,,7.2,0.1,2.9,0.1,2.1,0.1,1.3,0.1,0.5,0.1,,,14.0,0.2,25.86,0.03,,,0.43,0.007
LW4,6.3,0.1,5.8,0.1,170.6,1.9,61.8,0.7,,,,,6.8,0.1,2.8,0.1,1.8,0.1,1.2,0.1,0.7,0.1,,,13.4,0.2,25.95,0.06,,,0.48,0.011
LW5,6.4,0.3,6.6,0.3,235.7,2.7,102.8,1.2,,,,,4.7,0.3,2.2,0.3,1.2,0.3,0.6,0.3,0.2,0.3,,,9.0,0.6,25.64,0.24,,,0.59,0.043
LW6,5.9,0.5,8.6,0.5,267.7,3.1,145.0,1.7,,,,,3.8,0.5,4.0,0.5,7.2,0.5,6.1,0.5,3.9,0.5,,,25.0,1.2,28.19,0.13,,,0.37,0.025
LW8,8.9,0.8,17.4,0.8,1300.3,14.8,278.1,3.3,,,,,7.0,0.8,2.9,0.8,1.6,0.8,,,,,,,11.5,1.8,25.07,0.64,,,0.70,0.113
LW10,8.1,0.2,7.2,0.2,214.7,2.4,80.3,0.9,,,,,11.9,0.2,6.0,0.2,4.5,0.2,2.2,0.2,0.7,0.1,,,25.3,0.4,25.93,0.05,,,0.38,0.008
LW11,43.1,0.5,44.0,0.5,,,484.4,5.5,,,,,47.0,0.6,19.7,0.3,12.6,0.2,16.5,0.3,3.4,0.2,,,99.3,0.8,26.18,0.02,,,0.47,0.005
LW17,14.7,0.2,9.4,0.1,182.2,2.1,52.2,0.6,,,,,20.7,0.2,9.0,0.1,6.6,0.1,3.4,0.1,0.9,0.1,,,40.6,0.3,25.78,0.02,,,0.37,0.004
LW18,9.9,0.1,6.8,0.1,165.3,1.9,77.8,0.9,,,,,16.4,0.2,8.9,0.1,6.2,0.1,3.1,0.1,0.8,0.1,,,35.5,0.3,25.92,0.02,,,0.32,0.005
LW19,9.4,0.1,7.5,0.1,171.3,2.0,69.5,0.8,,,,,17.4,0.2,11.2,0.2,8.3,0.1,3.5,0.1,0.9,0.1,,,41.3,0.3,26.03,0.02,,,0.29,0.004
LW20,3.4,0.2,3.4,0.2,189.6,2.2,90.7,1.0,,,,,4.3,0.2,1.9,0.2,,,,,,,,,6.2,0.4,24.62,0.28,,,0.52,0.039
LW21,3.2,0.2,3.1,0.2,152.8,1.7,89.0,1.0,,,,,5.6,0.2,2.6,0.2,1.9,0.2,0.7,0.2,0.2,0.2,,,11.1,0.4,25.69,0.14,,,0.36,0.020
LW22,3.3,0.2,3.3,0.2,157.2,1.8,93.0,1.1,,,,,9.7,0.2,6.0,0.2,8.2,0.2,11.5,0.2,12.2,0.3,,,47.6,0.5,28.44,0.03,,,0.12,0.006
LW23,1.7,0.3,1.6,0.3,133.9,1.6,113.4,1.3,,,,,3.2,0.3,1.4,0.3,0.8,0.3,0.1,0.3,,,,,5.7,0.7,25.24,0.51,,,0.37,0.070
LW24,3.1,0.4,3.1,0.4,183.0,2.1,136.4,1.6,,,,,7.2,0.4,3.6,0.4,2.9,0.4,1.6,0.4,0.6,0.4,,,15.9,0.9,26.09,0.19,,,0.28,0.030
LW25,3.1,0.5,3.5,0.5,222.6,2.6,142.3,1.7,,,,,5.7,0.5,2.7,0.5,1.7,0.5,0.6,0.5,,,,,10.6,1.0,25.48,0.36,,,0.38,0.052
TS1,169.8,3.0,96.8,2.1,1800.3,28.3,1303.6,20.5,267.0,4.4,323.1,5.3,548.4,8.7,341.1,5.6,313.8,5.1,407.5,6.6,305.7,5.0,137.7,2.6,2054.3,14.4,27.99,0.02,3.86,0.02,0.11,0.002
TS2,33.7,1.1,15.0,1.0,240.6,3.9,125.1,2.2,151.5,2.6,178.0,3.0,347.9,5.6,410.2,6.5,459.7,7.3,715.4,11.3,536.0,8.5,213.1,3.5,2682.2,18.4,28.98,0.02,3.31,0.01,0.02,0.001
TS3,33.5,2.0,16.3,1.9,490.9,7.9,124.2,2.7,66.8,2.2,71.6,2.2,96.9,2.4,92.4,2.4,104.0,2.5,148.2,3.0,99.8,2.5,38.5,2.0,579.8,6.1,28.61,0.03,3.40,0.04,0.08,0.004
TS4,12.4,0.5,7.9,0.4,503.1,7.9,313.0,4.9,48.3,0.9,37.9,0.7,,,,,,,,,,,,,,,,,,,1.00,0.000
TS5,45.6,0.8,37.6,0.7,267.3,4.2,135.4,2.2,170.4,2.7,267.0,4.2,490.2,7.7,227.9,3.6,228.2,3.6,279.7,4.4,239.8,3.8,119.6,1.9,1585.5,11.1,27.89,0.02,3.34,0.01,0.05,0.001
TS6,41.9,1.9,20.0,1.8,441.4,7.2,166.5,3.2,119.6,2.6,272.0,4.6,698.9,11.1,343.4,5.7,1118.7,17.7,1107.1,17.5,770.6,12.2,255.2,4.4,4293.9,30.7,28.78,0.02,2.73,0.01,0.01,0.001
TS10,45.0,1.4,24.0,1.3,650.8,10.3,329.0,5.3,97.9,2.0,160.1,2.8,269.4,4.4,152.8,2.7,100.8,2.0,83.2,1.8,96.4,2.0,60.7,1.6,763.3,6.4,27.39,0.03,3.74,0.03,0.08,0.002
TS11,6.1,1.4,5.0,1.4,326.2,5.3,255.4,4.2,12.3,1.4,12.5,1.4,15.5,2.8,4.6,2.8,,,,,,,,,20.1,4.0,24.5,1.9,,,0.36,0.001
TS13,38.3,2.9,24.4,2.8,787.1,12.7,432.4,7.3,45.5,2.9,59.2,3.0,31.0,1.5,7.6,1.4,3.9,1.4,3.0,1.4,1.6,1.4,,,47.1,3.2,25.3,0.4,,,0.57,0.001
TS17,49.9,1.3,24.1,1.1,970.0,15.3,168.5,2.8,41.9,1.2,57.1,1.4,88.8,1.7,78.9,1.6,60.2,1.4,56.1,1.3,47.0,1.3,31.4,1.1,362.4,3.5,27.93,0.03,5.23,0.06,0.17,0.004
TS18,100.4,1.8,103.1,1.8,1159.4,18.2,354.8,5.6,423.4,6.7,478.8,7.6,1010.1,15.9,648.2,10.2,411.3,6.5,361.2,5.7,233.8,3.8,132.0,2.2,2796.6,21.2,26.97,0.02,4.06,0.02,0.07,0.001
TS20,34.6,0.9,16.0,0.8,729.8,11.5,305.8,4.9,99.7,1.7,139.7,2.3,359.5,5.7,320.8,5.1,235.3,3.8,210.6,3.4,96.1,1.7,46.4,1.1,1268.8,9.4,27.22,0.02,3.02,0.01,0.04,0.001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
