Sample,iso-C15,,anti iso-C15,,n-C16,,n-C18,,n-C20,,n-C22,,n-C24,,n-C26,,n-C28,,n-C30,,n-C32,,n-C34,,_LC24-34,
,mean,std. dev.,mean,std. dev.,mean,std. dev.,mean,std. dev.,mean,std. dev.,mean,std. dev.,mean,std. dev.,mean,std. dev.,mean,std. dev.,mean,std. dev.,mean,std. dev.,mean,std. dev.,mean,std. dev.
LW3,-24.4,0.5,,,,,,,-29.6,0.1,-29.3,0.2,-29.8,0.3,-29.9,0.4,-30.7,0.0,-30.5,0.1,-29.2,0.6,,,-30.0,0.2
LW11,-23.7,1.5,,,,,-27.6,0.3,-28.7,0.1,-28.5,0.1,-29.2,0.3,-29.1,0.2,-31.5,0.7,-30.8,0.4,,,,,-29.8,0.2
LW17,-24.6,0.4,,,,,-27.7,0.2,-29.3,0.1,-29.9,0.3,-30.8,0.1,-30.5,0.0,-31.3,0.6,-30.8,0.3,-31.7,0.2,,,-30.8,0.1
TS1,-20.4,0.1,-20.5,0.2,-22.7,0.7,-24.7,0.3,-29.1,0.5,-28.3,0.3,-27.8,0.4,-30.3,0.2,-29.5,0.3,-29.8,0.2,-27.6,0.3,-29.3,0.6,-28.9,0.1
TS2,-21.4,0.4,-18.7,1.2,-24.7,0.1,-25.9,0.1,-28.6,0.6,-27.6,0.2,-27.0,0.4,-29.9,0.3,-29.5,0.2,-30.4,0.0,-28.4,0.1,-29.6,0.2,-29.2,0.1
TS3,-21.0,0.1,-20.6,0.3,-22.9,0.3,-26.6,0.2,-28.6,0.4,-27.6,0.2,-27.6,0.3,-30.3,0.2,-30.0,0.2,-31.4,0.3,-29.2,0.4,-31.5,0.1,-29.9,0.1
TS4,-23.2,0.2,-25.3,1.0,-27.6,0.2,-28.0,0.1,-27.5,0.2,-28.3,0.8,,,,,,,,,,,,,,
TS5,-19.0,0.5,-19.2,0.5,-22.8,0.2,-21.7,0.4,-23.6,0.3,-23.4,0.4,-21.4,0.1,-24.4,0.2,-24.6,0.4,-25.0,0.4,-23.6,0.0,-23.9,0.2,-23.5,0.1
TS6,-20.0,0.5,-19.8,0.1,-24.9,0.1,-25.8,0.4,-27.8,0.2,-29.8,0.1,-29.9,0.3,-30.8,0.4,-31.8,0.2,-32.2,0.3,-33.2,0.1,-32.9,0.4,-31.8,0.1
TS10,-23.0,0.1,-22.8,0.6,-26.0,0.1,-27.1,0.3,-23.2,0.2,-27.9,0.4,-26.4,0.1,-26.9,0.1,-28.7,0.2,-29.7,0.2,-28.9,0.1,-28.5,0.4,-27.7,0.1
TS11,-24.7,0.3,-24.9,0.6,-27.2,0.1,-27.3,0.1,-29.0,0.6,-30.9,1.2,-29.1,0.5,-29.6,1.0,,,,,,,,,-29.2,0.4
TS13,-24.8,0.7,-25.0,1.1,-27.4,0.3,-28.0,0.2,-26.9,0.1,-28.0,0.6,-28.2,0.2,-28.5,0.7,-29.0,0.4,-27.9,0.3,-27.3,0.3,,,-28.8,0.2
TS17,-24.0,0.2,-24.0,0.4,-27.6,0.1,-26.7,0.2,-23.6,0.3,-29.3,0.1,-29.8,0.1,-29.9,0.2,-29.3,0.1,-29.6,0.1,-30.8,0.1,-30.0,0.2,-29.8,0.1
TS18,-17.1,0.3,-18.4,0.5,-19.8,0.2,-21.5,0.5,-21.2,0.2,-22.5,0.3,-22.5,0.1,-25.6,0.2,-27.0,0.3,-26.8,0.2,-24.5,0.1,-23.4,0.3,-24.6,0.1
TS20,-15.1,0.4,-17.0,0.5,-22.2,0.5,-21.2,0.1,-24.2,0.1,-24.9,0.4,-23.6,0.1,-25.9,0.1,-29.6,0.5,-31.4,0.4,-31.0,0.3,-31.8,0.5,-27.5,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
