RPO fraction,T  (°C),,Mass (_gC),,Fm,,E (kJ/mol)**,
,min.,max.,mean,std. dev.,mean,std. dev.,mean,std. dev.
LW1 F1,150.0,393.0,66.5,0.7,0.747,0.003,138.9,13.3
LW1 F2,393.0,536.0,62.4,0.6,0.114,0.003,187.6,15.5
LW1 F3,536.0,581.0,65.5,0.7,0.013,0.002,205.8,7.5
LW1 F4,581.0,613.0,70.0,0.7,0.007,0.002,210.2,2.8
LW1 F5,613.0,647.0,50.6,0.5,0.008,0.003,211.2,3.3
LW1 F6,647.0,900.0,20.3,0.2,0.073,0.008,227.0,15.6
_(1-6),150.0,900.0,335.3,1.4,0.178,0.001,192.8,29.4
LW3 F1,150.0,465.0,59.2,0.6,0.505,0.004,155.9,21.2
LW3 F2,465.0,528.0,68.0,0.7,0.019,0.002,195.6,6.9
LW3 F3,528.0,563.0,98.0,1.0,0.003,0.002,198.8,6.8
LW3 F4,563.0,597.0,91.8,0.9,0.002,0.002,205.5,6.4
LW3 F5,597.0,631.0,74.0,0.7,0.008,0.002,209.9,4.4
LW3 F6,631.0,900.0,38.8,0.4,0.027,0.005,224.0,14.2
_(1-6),150.0,900.0,429.8,1.8,0.076,0.001,199.1,20.5
LW11 F1,150.0,435.0,67.8,0.7,0.502,0.003,158.6,11.7
LW11 F2,435.0,528.0,80.3,0.8,0.062,0.002,190.2,12.7
LW11 F3,528.0,569.0,97.3,1.0,0.017,0.002,201.7,6.9
LW11 F4,569.0,607.0,94.6,0.9,0.007,0.002,208.6,8.0
LW11 F5,607.0,649.0,92.0,0.9,0.008,0.002,216.4,4.7
LW11 F6,649.0,903.0,59.4,0.6,0.028,0.003,227.3,13.3
_(1-6),150.0,900.0,491.4,2.0,0.088,0.001,203.3,20.3
LW13 F1,150.0,425.0,56.4,0.6,0.340,0.003,152.3,14.0
LW13 F2,425.0,510.0,56.9,0.6,0.038,0.003,186.0,12.8
LW13 F3,510.0,546.0,65.5,0.7,0.007,0.002,196.9,8.6
LW13 F4,546.0,582.0,80.2,0.8,0.003,0.002,206.3,7.2
LW13 F5,582.0,618.0,109.3,1.1,0.003,0.001,209.7,2.2
LW13 F6,618.0,900.0,64.0,0.6,0.013,0.003,217.2,13.6
_(1-6),150.0,900.0,432.2,1.8,0.053,0.001,199.2,21.0
LW17 F1,150.0,327.0,65.6,0.7,1.039,0.005,134.3,8.1
LW17 F2,327.0,470.0,63.7,0.6,0.793,0.005,156.2,13.9
LW17 F3,470.0,555.0,73.9,0.7,0.055,0.002,199.7,10.0
LW17 F4,555.0,590.0,76.2,0.8,0.010,0.002,208.0,5.9
LW17 F5,590.0,623.0,100.8,1.0,0.003,0.002,210.7,2.6
LW17 F6,623.0,900.0,51.5,0.5,0.025,0.004,216.9,11.2
_(1-6),150.0,900.0,431.8,1.8,0.289,0.001,190.5,30.6
LW21 F1,150.0,410.0,52.6,0.5,0.520,0.004,148.1,14.8
LW21 F2,410.0,500.0,55.8,0.6,0.076,0.003,167.9,9.1
LW21 F3,500.0,540.0,65.9,0.7,0.015,0.002,190.8,11.8
LW21 F4,540.0,577.0,81.4,0.8,0.006,0.002,202.9,8.5
LW21 F5,577.0,614.0,91.0,0.9,0.002,0.002,211.8,6.5
LW21 F6,614.0,900.0,130.4,1.3,0.007,0.002,219.2,10.3
_(1-6),150.0,900.0,477.0,2.1,0.071,0.001,201.0,22.8
H27 F1,150.2,330.5,69.9,0.7,1.013,0.008,135.5,8.9
H27 F2,330.5,470.4,66.3,0.7,0.700,0.007,160.5,16.3
H27 F3,470.4,538.3,80.3,0.8,0.057,0.002,194.0,8.1
H27 F4,538.3,580.2,85.9,0.9,0.015,0.001,202.0,6.2
H27 F5,580.2,618.4,65.7,0.7,0.020,0.002,207.4,5.2
H27 F6,618.4,899.5,39.3,0.4,0.065,0.004,222.0,13.2
_(1-6),150.2,899.5,407.4,1.7,0.311,0.002,184.5,29.9
TS1 F1,125.1,292.2,120.6,1.2,1.052,0.008,129.5,8.9
TS1 F2,292.2,333.5,143.9,1.4,1.023,0.009,142.6,5.7
TS1 F3,333.5,369.8,139.1,1.4,0.914,0.008,149.0,5.9
TS1 F4,369.8,420.4,118.8,1.2,0.642,0.007,159.6,7.4
TS1 F5,420.4,480.3,86.2,0.9,0.499,0.005,174.2,7.8
TS1 F6,480.3,900.1,136.9,1.4,0.453,0.005,204.2,21.8
_(1-6),125.1,900.1,745.5,3.1,0.782,0.003,158.2,26.3
TS2 F1,123.2,300.7,142.5,1.4,0.890,0.008,129.9,9.7
TS2 F2,300.7,350.4,152.2,1.5,0.777,0.007,144.2,6.2
TS2 F3,350.4,410.7,147.1,1.5,0.518,0.006,156.0,7.5
TS2 F4,410.7,495.2,129.8,1.3,0.418,0.005,175.0,8.9
TS2 F5,495.2,640.2,103.6,1.0,0.452,0.005,198.4,12.9
TS2 F6,640.2,900.7,56.5,0.6,0.424,0.005,240.1,15.1
_(1-6),123.2,900.7,731.7,3.1,0.610,0.003,162.2,30.5
TS3 F1,101.0,315.2,81.4,0.8,0.798,0.008,134.2,10.6
TS3 F2,315.2,354.8,79.5,0.8,0.708,0.007,147.4,6.1
TS3 F3,354.8,390.7,73.3,0.7,0.505,0.005,154.9,6.4
TS3 F4,390.7,445.7,82.5,0.8,0.349,0.005,166.3,7.8
TS3 F5,445.7,525.1,81.3,0.8,0.337,0.005,182.3,8.5
TS3 F6,525.1,901.7,81.9,0.8,0.411,0.005,219.7,22.0
_(1-6),101.0,901.7,479.9,2.0,0.517,0.002,168.1,30.6
TS4 F1,125.2,400.1,46.9,0.5,0.505,0.006,148.0,12.9
TS4 F2,400.1,505.3,60.8,0.6,0.083,0.002,176.1,8.0
TS4 F3,505.3,901.4,51.9,0.5,0.109,0.004,215.4,24.2
_(1-3),125.2,901.4,159.6,0.9,0.215,0.002,178.9,29.7
TS5 F1,75.3,226.5,450.7,4.5,1.023,0.008,114.8,8.6
TS5 F2,226.5,267.2,584.9,5.8,1.010,0.008,128.4,6.9
TS5 F3,267.2,296.9,803.6,8.0,0.998,0.008,135.3,4.3
TS5 F4,296.9,318.3,770.6,7.7,0.966,0.008,137.9,4.0
TS5 F5,318.3,357.5,826.9,8.3,0.946,0.008,142.9,4.9
TS5 F6,357.5,402.8,267.4,2.7,0.894,0.008,153.2,7.0
TS5 F7,402.8,900.6,367.7,3.7,0.642,0.007,176.6,10.6
_(1-6),75.3,900.6,4071.8,16.4,0.947,0.003,138.2,14.5
TS6 F1,125.3,275.5,164.3,1.6,0.973‡,0.008,126.9,8.8
TS6 F2,275.5,314.5,201.4,2.0,1.001,0.009,138.3,5.7
TS6 F3,314.5,347.7,214.7,2.1,0.965,0.009,143.9,4.6
TS6 F4,347.7,382.2,133.6,1.3,0.958,0.009,149.9,5.1
TS6 F5,382.2,450.4,76.2,0.8,0.912,0.008,162.7,8.7
TS6 F6,450.4,900.1,112.3,1.1,0.571,0.005,202.9,20.2
_(1-6),125.3,900.1,902.5,3.9,0.921,0.004,148.7,23.6
TS10 F1,150.1,345.0,94.6,0.9,1.027,0.010,138.8,9.8
TS10 F2,345.0,425.1,83.0,0.8,1.016,0.010,155.8,7.4
TS10 F3,425.1,525.4,38.9,0.4,0.903,0.010,179.2,11.2
TS10 F4,525.4,901.1,85.3,0.9,0.219,0.004,225.2,19.7
_(1-4),150.1,901.1,301.8,1.6,0.781,0.004,173.3,37.5
TS11 F1,150.1,450.2,31.3,0.3,0.716,0.010,150.7,15.2
TS11 F2,450.2,590.2,54.4,0.5,0.093,0.003,208.4,13.8
TS11 F3,590.2,660.3,139.0,1.4,-0.036‡,0.066,220.5,5.2
TS11 F4,660.3,866.5,87.0,0.9,-0.018,0.066,229.8,12.1
_(1-4),150.1,866.5,311.6,1.8,0.065,0.035,214.8,23.3
TS13 F1,150.1,375.1,46.1,0.5,0.925,0.070,142.8,9.2
TS13 F2,375.1,525.3,44.6,0.4,0.504,0.068,177.9,15.3
TS13 F3,525.3,610.3,42.7,0.4,0.034,0.067,201.8,5.9
TS13 F4,610.3,900.3,28.1,0.3,0.049,0.068,241.2,16.5
_(1-4),150.1,900.3,161.5,0.8,0.421,0.035,184.2,34.7
TS17 F1,150.1,315.1,64.9,0.6,0.539‡,0.070,135.6,9.2
TS17 F2,315.1,390.3,149.2,1.5,0.264,0.070,152.0,6.8
TS17 F3,390.3,465.1,107.3,1.1,0.269,0.069,167.2,8.9
TS17 F4,465.1,550.3,76.1,0.8,0.236,0.070,188.5,9.4
TS17 F5,550.3,900.1,106.0,1.1,0.117,0.069,224.9,20.1
