Sample,flow,fmid,fhigh,
LW1,0.14,0.11,0.75,
LW2,0.03,0.09,0.87,
LW3,0.05,0.06,0.89,
LW4,0.05,0.08,0.86,
LW5,0.04,0.08,0.88,
LW6,0.03,0.08,0.89,
LW7,0.03,0.06,0.91,
LW8,0.03,0.06,0.91,
LW9,0.07,0.06,0.87,
LW10,0.09,0.08,0.84,
LW11,0.02,0.14,0.84,
LW12,0.03,0.12,0.85,
LW13,0.04,0.11,0.85,
LW14,0.05,0.13,0.82,
LW15,0.05,0.16,0.79,
LW16,0.05,0.12,0.82,
LW17,0.19,0.10,0.70,
LW18,0.11,0.07,0.83,
LW19,0.09,0.07,0.85,
LW20,0.04,0.09,0.88,
LW21,0.05,0.10,0.85,
LW22,0.03,0.10,0.87,
LW23,0.05,0.12,0.82,
LW24,0.06,0.18,0.76,
LW25,0.04,0.11,0.84,
LW3PETRO,0.00,0.04,0.96,
H27,0.22,0.13,0.65,
TS1,0.46,0.39,0.15,
TS2,0.42,0.38,0.20,
TS3,0.30,0.46,0.24,
TS4,0.16,0.51,0.34,
TS5,0.88,0.11,0.01,
TS6,0.70,0.21,0.09,
TS10,0.33,0.35,0.32,
TS11,0.04,0.06,0.90,
TS13,0.22,0.26,0.52,
TS17,0.22,0.47,0.31,
TS18,0.90,0.08,0.02,
TS20,0.54,0.24,0.22,
